name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
EVENT	MISC	n/a	0.0	249.85355222464145	Miscellaneous	499.7071044492829	bad	n/a
G1	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G2	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G3	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G4	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G5	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G6	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G7	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G8	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G9	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G10	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G11	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G12	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G13	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G14	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G15	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G16	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G17	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G18	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G19	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G20	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G21	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G22	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G23	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G24	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G25	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G26	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G27	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G28	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G29	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G30	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G31	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G32	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G33	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G34	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G35	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G36	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G37	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G38	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G39	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G40	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G41	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G42	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G43	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G44	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G45	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G46	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G47	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
G48	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
CG1	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
CG2	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
CG3	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
CG4	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
AH1	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
AH2	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
AH3	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
AH4	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
AH5	ECOG	µV	0.0	249.85355222464145	Electrocorticography	499.7071044492829	good	n/a
